"Student","ID","SIS User ID","SIS Login ID","Section","Assignment 06","Current Score","Final Score","Unposted Final Score","Current Grade","Final Grade","Assignment 12","Assignment 13","Assignment 14","Assignment 15","Assignment 16","Assignment 17","Assignment 18","Assignment 19","Assignment 20","Assignment 21","Assignment 22","Assignment 23","Assignment 24","Assignment 25","Assignment 26","Assignment 27","Assignment 28","Assignment 29","Assignment 30","Assignment 31","Assignment 32","Assignment 33","Assignment 34","Assignment 35","Assignment 36","Assignment 37","Assignment 38","Assignment 39"
"Synthetic Student 001","SYN-ID-000001","SYN000001","synthetic001","Section A","Complete","",10,10,"F","F",,,,,,,,,,10,,,,,,,,,,,,,,,,,,
"Synthetic Student 002","SYN-ID-000002","SYN000002","synthetic002","Section A","Exempt","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 003","SYN-ID-000003","SYN000003","synthetic003","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 004","SYN-ID-000004","SYN000004","synthetic004","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 005","SYN-ID-000005","SYN000005","synthetic005","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 006","SYN-ID-000006","SYN000006","synthetic006","Section A","Complete","",12,12,"F","F",,,,,,,,,,,,,,,,,,,,,12,,,,,,,
"Synthetic Student 007","SYN-ID-000007","SYN000007","synthetic007","Section A","Submitted","",26.4,26.4,"F","F",,,100,,,2,,,10,,,10,,,10,,,,,,,,,,,,,
"Synthetic Student 008","SYN-ID-000008","SYN000008","synthetic008","Section A","Exempt","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 009","SYN-ID-000009","SYN000009","synthetic009","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 010","SYN-ID-000010","SYN000010","synthetic010","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 011","SYN-ID-000011","SYN000011","synthetic011","Section A","Needs Review","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 012","SYN-ID-000012","SYN000012","synthetic012","Section A","Submitted","",40.67,40.67,"F","F",100,,,,,,,,,,,,,,10,,,,,,,,12,,,,,
"Synthetic Student 013","SYN-ID-000013","SYN000013","synthetic013","Section A","Complete","",10,10,"F","F",,,,,,,,,,,,,,,,,,,,,,,,,,,,10
"Synthetic Student 014","SYN-ID-000014","SYN000014","synthetic014","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 015","SYN-ID-000015","SYN000015","synthetic015","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 016","SYN-ID-000016","SYN000016","synthetic016","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 017","SYN-ID-000017","SYN000017","synthetic017","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 018","SYN-ID-000018","SYN000018","synthetic018","Section A","Complete","",10,10,"F","F",,,,,,,,,,,,10,,,,,,,,,,,,,,,,
